"","names.res.data.new."
"1","Mean.of.tBodyAcc.mean.X"
"2","Mean.of.tBodyAcc.mean.Y"
"3","Mean.of.tBodyAcc.mean.Z"
"4","Mean.of.tBodyAcc.std.X"
"5","Mean.of.tBodyAcc.std.Y"
"6","Mean.of.tBodyAcc.std.Z"
"7","Mean.of.tGravityAcc.mean.X"
"8","Mean.of.tGravityAcc.mean.Y"
"9","Mean.of.tGravityAcc.mean.Z"
"10","Mean.of.tGravityAcc.std.X"
"11","Mean.of.tGravityAcc.std.Y"
"12","Mean.of.tGravityAcc.std.Z"
"13","Mean.of.tBodyAccJerk.mean.X"
"14","Mean.of.tBodyAccJerk.mean.Y"
"15","Mean.of.tBodyAccJerk.mean.Z"
"16","Mean.of.tBodyAccJerk.std.X"
"17","Mean.of.tBodyAccJerk.std.Y"
"18","Mean.of.tBodyAccJerk.std.Z"
"19","Mean.of.tBodyGyro.mean.X"
"20","Mean.of.tBodyGyro.mean.Y"
"21","Mean.of.tBodyGyro.mean.Z"
"22","Mean.of.tBodyGyro.std.X"
"23","Mean.of.tBodyGyro.std.Y"
"24","Mean.of.tBodyGyro.std.Z"
"25","Mean.of.tBodyGyroJerk.mean.X"
"26","Mean.of.tBodyGyroJerk.mean.Y"
"27","Mean.of.tBodyGyroJerk.mean.Z"
"28","Mean.of.tBodyGyroJerk.std.X"
"29","Mean.of.tBodyGyroJerk.std.Y"
"30","Mean.of.tBodyGyroJerk.std.Z"
"31","Mean.of.tBodyAccMag.mean"
"32","Mean.of.tBodyAccMag.std"
"33","Mean.of.tGravityAccMag.mean"
"34","Mean.of.tGravityAccMag.std"
"35","Mean.of.tBodyAccJerkMag.mean"
"36","Mean.of.tBodyAccJerkMag.std"
"37","Mean.of.tBodyGyroMag.mean"
"38","Mean.of.tBodyGyroMag.std"
"39","Mean.of.tBodyGyroJerkMag.mean"
"40","Mean.of.tBodyGyroJerkMag.std"
"41","Mean.of.fBodyAcc.mean.X"
"42","Mean.of.fBodyAcc.mean.Y"
"43","Mean.of.fBodyAcc.mean.Z"
"44","Mean.of.fBodyAcc.std.X"
"45","Mean.of.fBodyAcc.std.Y"
"46","Mean.of.fBodyAcc.std.Z"
"47","Mean.of.fBodyAcc.meanFreq.X"
"48","Mean.of.fBodyAcc.meanFreq.Y"
"49","Mean.of.fBodyAcc.meanFreq.Z"
"50","Mean.of.fBodyAccJerk.mean.X"
"51","Mean.of.fBodyAccJerk.mean.Y"
"52","Mean.of.fBodyAccJerk.mean.Z"
"53","Mean.of.fBodyAccJerk.std.X"
"54","Mean.of.fBodyAccJerk.std.Y"
"55","Mean.of.fBodyAccJerk.std.Z"
"56","Mean.of.fBodyAccJerk.meanFreq.X"
"57","Mean.of.fBodyAccJerk.meanFreq.Y"
"58","Mean.of.fBodyAccJerk.meanFreq.Z"
"59","Mean.of.fBodyGyro.mean.X"
"60","Mean.of.fBodyGyro.mean.Y"
"61","Mean.of.fBodyGyro.mean.Z"
"62","Mean.of.fBodyGyro.std.X"
"63","Mean.of.fBodyGyro.std.Y"
"64","Mean.of.fBodyGyro.std.Z"
"65","Mean.of.fBodyGyro.meanFreq.X"
"66","Mean.of.fBodyGyro.meanFreq.Y"
"67","Mean.of.fBodyGyro.meanFreq.Z"
"68","Mean.of.fBodyAccMag.mean"
"69","Mean.of.fBodyAccMag.std"
"70","Mean.of.fBodyAccMag.meanFreq"
"71","Mean.of.fBodyBodyAccJerkMag.mean"
"72","Mean.of.fBodyBodyAccJerkMag.std"
"73","Mean.of.fBodyBodyAccJerkMag.meanFreq"
"74","Mean.of.fBodyBodyGyroMag.mean"
"75","Mean.of.fBodyBodyGyroMag.std"
"76","Mean.of.fBodyBodyGyroMag.meanFreq"
"77","Mean.of.fBodyBodyGyroJerkMag.mean"
"78","Mean.of.fBodyBodyGyroJerkMag.std"
"79","Mean.of.fBodyBodyGyroJerkMag.meanFreq"
"80","subject"
"81","activity"
